id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence,primary_chart_type,standard_kind,standard_imd_priority,standard_min_fields,standard_data_shape,standard_required_roles_json,standard_optional_roles_json,standard_auto_binding_strategy,imd_template_fit
matrix-pie,matrix,Pie Charts in Matrix,矩阵布局下的饼图,matrix-pie.png,public/examples/ts/matrix-pie.ts,pie,unknown/static option,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
parallel-aqi,parallel,Parallel Aqi,AQI 分布（平行坐标）,parallel-aqi.png,public/examples/ts/parallel-aqi.ts,parallel,series.data,,,8,8,,平行坐标多维数组；字段数等于 parallelAxis 维度数,medium（基于官方示例源码静态解析 + 分类规则）,parallel,series,advanced,3,multi_dimension_rows,"[{""id"": ""dimensions"", ""label"": ""多个维度"", ""required"": true, ""types"": [""number[]"", ""mixed[]""], ""description"": ""每行多个维度值""}]","[{""id"": ""category"", ""label"": ""分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""线条分组""}]",选择 3 个以上数值/有序字段作为维度。,advanced_requires_validation
pie-custom,pie,Customized Pie,饼图自定义样式,pie-custom.png,public/examples/ts/pie-custom.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-pattern,pie,Texture on Pie Chart,饼图纹理,pie-pattern.png,public/examples/ts/pie-pattern.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-roseType,pie,Nightingale Chart,南丁格尔玫瑰图,pie-roseType.png,public/examples/ts/pie-roseType.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
pie-roseType-simple,pie,Nightingale Chart,基础南丁格尔玫瑰图,pie-roseType-simple.png,public/examples/ts/pie-roseType-simple.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
polar-endAngle,bar,Polar endAngle,极坐标系 endAngle,polar-endAngle.png,public/examples/ts/polar-endAngle.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
radar-custom,radar,Customized Radar Chart,自定义雷达图,radar-custom.png,public/examples/ts/radar-custom.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）,radar,series,advanced,3,multi_metric_vectors,"[{""id"": ""dimension_values"", ""label"": ""多个指标值"", ""required"": true, ""types"": [""number[]""], ""description"": ""每个对象在多个指标上的数值""}]","[{""id"": ""name"", ""label"": ""对象名称"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""每条雷达线名称""}]",选择 3 个以上数值字段作为指标；分类字段作为对象名。,advanced_requires_validation
sankey-itemstyle,sankey,Specify ItemStyle for Each Node in Sankey,桑基图节点自定义样式,sankey-itemstyle.png,public/examples/ts/sankey-itemstyle.ts,sankey,dataset.source+series.data+nodes+links,,,3,,3,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）,sankey,series,core,2,flows,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向目标""}]","[{""id"": ""value"", ""label"": ""流量/权重"", ""required"": false, ""types"": [""number""], ""description"": ""流量大小；没有则按 count 聚合""}]",source + target 必填；value 没有时按记录数计数。,auto_recommendable
sankey-levels,sankey,Sankey with Levels Setting,桑基图层级自定义样式,sankey-levels.png,public/examples/ts/sankey-levels.ts,sankey,series.data+external file/api+nodes+links,,,"3（source,target,value）+ nodes",,,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）,sankey,series,core,2,flows,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""流向目标""}]","[{""id"": ""value"", ""label"": ""流量/权重"", ""required"": false, ""types"": [""number""], ""description"": ""流量大小；没有则按 count 聚合""}]",source + target 必填；value 没有时按记录数计数。,auto_recommendable
scatter-effect,scatter,Effect Scatter Chart,涟漪特效散点图,scatter-effect.png,public/examples/ts/scatter-effect.ts,effectScatter;scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）,scatter,series,core,2,points,"[{""id"": ""x"", ""label"": ""X数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 X 坐标""}, {""id"": ""y"", ""label"": ""Y数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 Y 坐标""}]","[{""id"": ""size"", ""label"": ""气泡大小"", ""required"": false, ""types"": [""number""], ""description"": ""控制点大小""}, {""id"": ""category"", ""label"": ""颜色分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""按类别着色""}]",至少需要两个数值字段；第三个数值字段可做 size。,auto_recommendable
scatter-linear-regression,scatter,Linear Regression,线性回归（使用统计插件）,scatter-linear-regression.png,public/examples/ts/scatter-linear-regression.ts,line;scatter,dataset+dataset.source,,,2,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）,scatter,series,core,2,points,"[{""id"": ""x"", ""label"": ""X数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 X 坐标""}, {""id"": ""y"", ""label"": ""Y数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 Y 坐标""}]","[{""id"": ""size"", ""label"": ""气泡大小"", ""required"": false, ""types"": [""number""], ""description"": ""控制点大小""}, {""id"": ""category"", ""label"": ""颜色分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""按类别着色""}]",至少需要两个数值字段；第三个数值字段可做 size。,auto_recommendable
scatter-polynomial-regression,scatter,Polynomial Regression,多项式回归（使用统计插件）,scatter-polynomial-regression.png,public/examples/ts/scatter-polynomial-regression.ts,line;scatter,dataset+dataset.source,,,2,2,,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）,scatter,series,core,2,points,"[{""id"": ""x"", ""label"": ""X数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 X 坐标""}, {""id"": ""y"", ""label"": ""Y数值"", ""required"": true, ""types"": [""number""], ""description"": ""点的 Y 坐标""}]","[{""id"": ""size"", ""label"": ""气泡大小"", ""required"": false, ""types"": [""number""], ""description"": ""控制点大小""}, {""id"": ""category"", ""label"": ""颜色分类"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""按类别着色""}]",至少需要两个数值字段；第三个数值字段可做 size。,auto_recommendable
sunburst-borderRadius,sunburst,Sunburst with Rounded Corner,圆角旭日图,sunburst-borderRadius.png,public/examples/ts/sunburst-borderRadius.ts,sunburst,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）,sunburst,series,advanced,2,hierarchy_value,"[{""id"": ""name"", ""label"": ""节点名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""节点名称""}, {""id"": ""value"", ""label"": ""节点数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""parent"", ""label"": ""父节点"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""层级关系""}]",分类层级 + 数值；需要构造成 children。,advanced_requires_validation
sunburst-label-rotate,sunburst,Sunburst Label Rotate,旭日图标签旋转,sunburst-label-rotate.png,public/examples/ts/sunburst-label-rotate.ts,sunburst,series.data,,,1,,1,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）,sunburst,series,advanced,2,hierarchy_value,"[{""id"": ""name"", ""label"": ""节点名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""节点名称""}, {""id"": ""value"", ""label"": ""节点数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""parent"", ""label"": ""父节点"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""层级关系""}]",分类层级 + 数值；需要构造成 children。,advanced_requires_validation
area-pieces,line;visualMap,Area Pieces,折线图区域高亮,area-pieces.png,public/examples/ts/area-pieces.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
bar-breaks-simple,bar,Bar Chart with Axis Breaks,断轴上的柱状图,bar-breaks-simple.png,public/examples/ts/bar-breaks-simple.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-gradient,bar,Clickable Column Chart with Gradient,特性示例：渐变色 阴影 点击缩放,bar-gradient.png,public/examples/ts/bar-gradient.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-label-rotation,bar,Bar Label Rotation,柱状图标签旋转,bar-label-rotation.png,public/examples/ts/bar-label-rotation.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-stack,bar,Stacked Column Chart,堆叠柱状图,bar-stack.png,public/examples/ts/bar-stack.ts,bar,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-stack-borderRadius,bar,Stacked Bar with borderRadius,带圆角的堆积柱状图,bar-stack-borderRadius.png,public/examples/ts/bar-stack-borderRadius.ts,bar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-stack-normalization,bar,Stacked Bar Normalization,堆叠柱状图的归一化,bar-stack-normalization.png,public/examples/ts/bar-stack-normalization.ts,bar,series.data,,,7,7,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-stack-normalization-and-variation,bar,Stacked Bar Normalization and Variation,堆叠柱状图的归一化和变化,bar-stack-normalization-and-variation.png,public/examples/ts/bar-stack-normalization-and-variation.ts,bar,series.data,,,7,7,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-waterfall2,bar,Waterfall Chart,阶梯瀑布图（柱状图模拟）,bar-waterfall2.png,public/examples/ts/bar-waterfall2.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
bar-y-category-stack,bar,Stacked Horizontal Bar,堆叠条形图,bar-y-category-stack.png,public/examples/ts/bar-y-category-stack.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,bar,series,core,2,table_rows,"[{""id"": ""category"", ""label"": ""分类/X轴"", ""required"": true, ""types"": [""text"", ""category"", ""date""], ""description"": ""每个柱子的类目、时间或分组""}, {""id"": ""value"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""柱子高度或长度""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多系列或堆叠柱状图""}, {""id"": ""stack"", ""label"": ""堆叠组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""把多个系列堆叠显示""}]",优先选择低基数文本/日期字段做 category，选择第一个数值字段做 value。,auto_recommendable
candlestick-large,candlestick,Large Scale Candlestick,大数据量K线图,candlestick-large.png,public/examples/ts/candlestick-large.ts,bar;candlestick;line,dataset+dataset.source+series.data,,,2,,2,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）,candlestick,series,advanced,5,ohlc,"[{""id"": ""date"", ""label"": ""日期/周期"", ""required"": true, ""types"": [""date"", ""text"", ""category""], ""description"": ""交易日期或周期""}, {""id"": ""open"", ""label"": ""开盘"", ""required"": true, ""types"": [""number""], ""description"": ""开盘价""}, {""id"": ""close"", ""label"": ""收盘"", ""required"": true, ""types"": [""number""], ""description"": ""收盘价""}, {""id"": ""low"", ""label"": ""最低"", ""required"": true, ""types"": [""number""], ""description"": ""最低价""}, {""id"": ""high"", ""label"": ""最高"", ""required"": true, ""types"": [""number""], ""description"": ""最高价""}]","[{""id"": ""volume"", ""label"": ""成交量"", ""required"": false, ""types"": [""number""], ""description"": ""成交量，可配合柱状图""}]",按字段名识别 open/close/low/high/date。,advanced_requires_validation
chord-lineStyle-color,chord,Chord lineStyle.color,和弦图边的颜色,chord-lineStyle-color.png,public/examples/ts/chord-lineStyle-color.ts,chord,dataset.source+series.data+nodes+links,,,3,,3,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,chord,series,advanced,2,relationship_matrix_or_edges,"[{""id"": ""source"", ""label"": ""来源"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系来源""}, {""id"": ""target"", ""label"": ""目标"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""关系目标""}]","[{""id"": ""value"", ""label"": ""权重"", ""required"": false, ""types"": [""number""], ""description"": ""关系强度""}]",source/target/value 或矩阵数据。,advanced_requires_validation
custom-bar-trend,custom,Custom Bar Trend,使用自定义系列添加柱状图趋势,custom-bar-trend.png,public/examples/ts/custom-bar-trend.ts,bar;custom,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
custom-cartesian-polygon,custom,Custom Cartesian Polygon,自定义多边形图,custom-cartesian-polygon.png,public/examples/ts/custom-cartesian-polygon.ts,custom,series.data,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
custom-error-bar,custom,Error Bar on Catesian,使用自定系列给柱状图添加误差范围,custom-error-bar.png,public/examples/ts/custom-error-bar.ts,bar;custom;line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
custom-profile,custom,Profile,性能分析图,custom-profile.png,public/examples/ts/custom-profile.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
cycle-plot,custom,Cycle Plot,周期图,cycle-plot.png,public/examples/ts/cycle-plot.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）,custom,series,experimental,varies,custom_render_item,"[{""id"": ""dimensions"", ""label"": ""自定义维度"", ""required"": true, ""types"": [""mixed[]""], ""description"": ""由 renderItem/encode 决定""}]",[],不做自动推荐，除非模板单独声明 role schema。,experimental_manual_schema
data-transform-filter,line,Data Transform Filter,数据过滤,data-transform-filter.png,public/examples/ts/data-transform-filter.ts,line,dataset+dataset.source+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）,line,series,core,2,table_rows,"[{""id"": ""x"", ""label"": ""X轴/时间或分类"", ""required"": true, ""types"": [""date"", ""number"", ""text"", ""category""], ""description"": ""趋势横轴，优先日期或有序字段""}, {""id"": ""y"", ""label"": ""数值/Y轴"", ""required"": true, ""types"": [""number""], ""description"": ""趋势数值""}]","[{""id"": ""series"", ""label"": ""分组/系列"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""生成多条折线""}]",优先日期字段做 x；没有日期时用分类字段；数值字段做 y。,auto_recommendable
data-transform-multiple-pie,dataset;pie;transform,Partition Data to Pies,分割数据到数个饼图,data-transform-multiple-pie.png,public/examples/ts/data-transform-multiple-pie.ts,pie,dataset+dataset.source,,21,4,4,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
dataset-default,dataset;pie,Default arrangement,默认 encode 设置,dataset-default.png,public/examples/ts/dataset-default.ts,pie,dataset+dataset.source,,5,7,7,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）,pie,series,core,2,category_value,"[{""id"": ""name"", ""label"": ""分类名称"", ""required"": true, ""types"": [""text"", ""category""], ""description"": ""扇区名称""}, {""id"": ""value"", ""label"": ""数值"", ""required"": true, ""types"": [""number""], ""description"": ""扇区大小""}]","[{""id"": ""group"", ""label"": ""聚合分组"", ""required"": false, ""types"": [""text"", ""category""], ""description"": ""同名分类聚合""}]",选择低基数分类字段做 name，数值字段做 value；默认 Top N。,auto_recommendable
