id,categories,title,titleCN,image_filename,example_code_path,series_types_detected,data_source_type,dimensions_count_detected,dataset_source_rows_detected,dataset_or_row_field_count_detected,max_inline_array_width_detected,max_object_fields_detected,data_requirement_summary,analysis_confidence
matrix-confusion,matrix,Confusion Matrix,混淆矩阵,matrix-confusion.png,public/examples/ts/matrix-confusion.ts,custom,series.data,,,3,3,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
matrix-grid-layout,matrix,Responsive grid layout based on matrix,矩阵中响应式网格布局,matrix-grid-layout.png,public/examples/ts/matrix-grid-layout.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
matrix-stock,matrix;candlestick,Matrix Stock Application,股市矩阵图,matrix-stock.png,public/examples/ts/matrix-stock.ts,bar;line,series.data,,,2,2,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
pie-alignTo,pie,Pie Label Align,饼图标签对齐,pie-alignTo.png,public/examples/ts/pie-alignTo.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-labelLine-adjust,pie,Label Line Adjust,饼图引导线调整,pie-labelLine-adjust.png,public/examples/ts/pie-labelLine-adjust.ts,pie,series.data,,,6,6,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
radar2,radar,Proportion of Browsers,浏览器占比变化,radar2.png,public/examples/ts/radar2.ts,radar,series.data,,,2,,2,雷达多指标数组；字段数通常等于 indicator 数,medium（基于官方示例源码静态解析 + 分类规则）
sankey-energy,sankey,Gradient Edge,桑基图渐变色边,sankey-energy.png,public/examples/ts/sankey-energy.ts,sankey,series.data+external file/api+nodes+links,,,"3（source,target,value）+ nodes",,,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
sankey-nodeAlign-left,sankey,Node Align Left in Sankey,桑基图左对齐布局,sankey-nodeAlign-left.png,public/examples/ts/sankey-nodeAlign-left.ts,sankey,series.data+external file/api+nodes+links,,,"3（source,target,value）+ nodes",,,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
sankey-nodeAlign-right,sankey,Node Align Right in Sankey,桑基图右对齐布局,sankey-nodeAlign-right.png,public/examples/ts/sankey-nodeAlign-right.ts,sankey,series.data+external file/api+nodes+links,,,"3（source,target,value）+ nodes",,,"nodes + links: link 至少 source, target, value",medium（基于官方示例源码静态解析 + 分类规则）
scatter-jitter,scatter,Scatter with Jittering,带抖动的散点图,scatter-jitter.png,public/examples/ts/scatter-jitter.ts,scatter,series.data,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-punchCard,scatter,Punch Card of Github,GitHub 打卡气泡图,scatter-punchCard.png,public/examples/ts/scatter-punchCard.ts,scatter,series.data,,,3,3,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-single-axis,scatter,Scatter on Single Axis,单轴散点图,scatter-single-axis.png,public/examples/ts/scatter-single-axis.ts,scatter,series.data,,,3,3,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-weight,scatter,Distribution of Height and Weight,男性女性身高体重分布,scatter-weight.png,public/examples/ts/scatter-weight.ts,scatter,series.data,,,2,2,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
sunburst-monochrome,sunburst,Monochrome Sunburst,单色旭日图,sunburst-monochrome.png,public/examples/ts/sunburst-monochrome.ts,sunburst,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
area-simple,line;dataZoom,Large scale area chart,大数据量面积图,area-simple.png,public/examples/ts/area-simple.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-brush,bar,Brush Select on Column Chart,柱状图框选,bar-brush.png,public/examples/ts/bar-brush.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-negative,bar,Bar Chart with Negative Value,正负条形图,bar-negative.png,public/examples/ts/bar-negative.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar1,bar,Rainfall and Evaporation,某地区蒸发量和降水量,bar1.png,public/examples/ts/bar1.ts,bar,series.data,,,4,,4,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
calendar-graph,calendar;graph,Calendar Graph,日历关系图,calendar-graph.png,public/examples/ts/calendar-graph.ts,graph;heatmap,dataset.source+series.data+nodes+links,,,2,2,,"nodes + links/categories；节点常含 name/value/symbolSize；三元组: x, y, value（3 字段）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
calendar-lunar,calendar,Calendar Lunar,农历日历图,calendar-lunar.png,public/examples/ts/calendar-lunar.ts,heatmap;scatter,series.data+map/geoJSON,,,2,2,,"三元组: x, y, value（3 字段）；点坐标: x, y（可附加 value/size 等）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
candlestick-touch,candlestick,Axis Pointer Link and Touch,触屏上的坐标轴指示器,candlestick-touch.png,public/examples/ts/candlestick-touch.ts,bar;candlestick;line,series.data,,,10,10,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
confidence-band,line,Confidence Band,置信带,confidence-band.png,public/examples/ts/confidence-band.ts,line,series.data+external file/api,,,4,,4,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
custom-gantt-flight,custom;dataZoom,Gantt Chart of Airport Flights,机场航班甘特图,custom-gantt-flight.png,public/examples/ts/custom-gantt-flight.ts,,unknown/static option,,,自定义（由 encode/renderItem 决定）,,,自定义 series；字段由 renderItem/encode 决定,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
custom-polar-heatmap,custom,Polar Heatmap,极坐标热力图（自定义系列）,custom-polar-heatmap.png,public/examples/ts/custom-polar-heatmap.ts,custom,series.data,,,3,3,,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
data-transform-aggregate,boxplot,Data Transform Simple Aggregate,简单的数据聚合,data-transform-aggregate.png,public/examples/ts/data-transform-aggregate.ts,,unknown/static option,,,6+（类目 + min/Q1/median/Q3/max）,,,"boxplot 五数概括: min, Q1, median, Q3, max（5 个数值字段）",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
flame-graph,custom,Flame graph,火焰图,flame-graph.png,public/examples/ts/flame-graph.ts,custom,series.data+external file/api,,,3,,3,自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-grade,gauge,Grade Gauge,等级仪表盘,gauge-grade.png,public/examples/ts/gauge-grade.ts,gauge,series.data,,,2,2,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-multi-title,gauge,Multi Title Gauge,多标题仪表盘,gauge-multi-title.png,public/examples/ts/gauge-multi-title.ts,gauge,series.data,,,,,,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-temperature,gauge,Temperature Gauge chart,气温仪表盘,gauge-temperature.png,public/examples/ts/gauge-temperature.ts,gauge,series.data,,,1,,1,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph,graph,Les Miserables,悲惨世界人物关系图,graph.png,public/examples/ts/graph.ts,graph,series.data+external file/api+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
grid-multiple,line,Rainfall vs Evaporation,雨量蒸发量关系图,grid-multiple.png,public/examples/ts/grid-multiple.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
intraday-breaks-1,candlestick;line,Intraday Chart with Breaks,断轴上的日内走势图,intraday-breaks-1.png,public/examples/ts/intraday-breaks-1.ts,line,series.data,,,5+（日期/类目 + open/close/low/high）,,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
intraday-breaks-2,candlestick;line,Intraday Chart with Breaks (II),断轴上的日内走势图 (II),intraday-breaks-2.png,public/examples/ts/intraday-breaks-2.ts,line,series.data,,,5+（日期/类目 + open/close/low/high）,,,"OHLC: open, close, low, high（常见 4 个数值字段，可附加日期/名称）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
line-aqi,line,Beijing AQI,北京 AQI 可视化,line-aqi.png,public/examples/ts/line-aqi.ts,line,series.data+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
mix-line-bar,bar,Mixed Line and Bar,折柱混合,mix-line-bar.png,public/examples/ts/mix-line-bar.ts,bar;line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
mix-zoom-on-value,bar,Mix Zoom On Value,多数值轴轴缩放,mix-zoom-on-value.png,public/examples/ts/mix-zoom-on-value.ts,bar,series.data+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
multiple-x-axis,line,Multiple X Axes,多 X 轴,multiple-x-axis.png,public/examples/ts/multiple-x-axis.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
multiple-y-axis,bar,Multiple Y Axes,多 Y 轴示例,multiple-y-axis.png,public/examples/ts/multiple-y-axis.ts,bar;line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
parallel-nutrients,parallel,Parallel Nutrients,营养结构（平行坐标）,parallel-nutrients.png,public/examples/ts/parallel-nutrients.ts,parallel,series.data+external file/api,,,多维数组（字段数随 indicator/axis 数变化）,,,平行坐标多维数组；字段数等于 parallelAxis 维度数,medium（基于官方示例源码静态解析 + 分类规则）
pictorialBar-bar-transition,pictorialBar;animation,Transition between pictorialBar and bar,象形主图变形为柱状图,pictorialBar-bar-transition.png,public/examples/ts/pictorialBar-bar-transition.ts,bar,series.data,,,2,,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
pie-legend,pie,Pie with Scrollable Legend,可滚动的图例,pie-legend.png,public/examples/ts/pie-legend.ts,pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
pie-rich-text,pie;rich,Pie Special Label,富文本标签,pie-rich-text.png,public/examples/ts/pie-rich-text.ts,pie,series.data+external file/api,,,2,,2,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-aggregate-bar,scatter;animation,Aggregate Scatter to Bar,散点图聚合为柱状图动画,scatter-aggregate-bar.png,public/examples/ts/scatter-aggregate-bar.ts,bar;scatter,series.data,,,2,2,2,"点坐标: x, y（可附加 value/size 等）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
scatter-label-align-right,scatter,Align Label on the Top,散点图标签顶部对齐,scatter-label-align-right.png,public/examples/ts/scatter-label-align-right.ts,scatter,series.data,,,5,5,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-label-align-top,scatter,Align Label on the Top,散点图标签顶部对齐,scatter-label-align-top.png,public/examples/ts/scatter-label-align-top.ts,scatter,series.data,,,5,5,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-symbol-morph,scatter,Symbol Shape Morph,散点图变形动画,scatter-symbol-morph.png,public/examples/ts/scatter-symbol-morph.ts,scatter,series.data,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
sunburst-visualMap,sunburst,Sunburst VisualMap,旭日图使用视觉编码,sunburst-visualMap.png,public/examples/ts/sunburst-visualMap.ts,sunburst,series.data,,,2,,2,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
treemap-sunburst-transition,treemap,Transition between Treemap and Sunburst,矩形树图和旭日图的动画过渡,treemap-sunburst-transition.png,public/examples/ts/treemap-sunburst-transition.ts,sunburst;treemap,series.data+external file/api,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
area-rainfall,line,Rainfall,雨量流量关系图,area-rainfall.png,public/examples/ts/area-rainfall.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
area-time-axis,line,Area Chart with Time Axis,时间轴折线图,area-time-axis.png,public/examples/ts/area-time-axis.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-animation-delay,bar,Animation Delay,柱状图动画延迟,bar-animation-delay.png,public/examples/ts/bar-animation-delay.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-drilldown,bar,Bar Chart Drilldown Animation,柱状图下钻动画,bar-drilldown.png,public/examples/ts/bar-drilldown.ts,bar,series.data,,,2,2,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-large,bar,Large Scale Bar Chart,大数据量柱图,bar-large.png,public/examples/ts/bar-large.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-race,bar,Bar Race,动态排序柱状图,bar-race.png,public/examples/ts/bar-race.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
dataset-link,dataset;line;pie,Share Dataset,联动和共享数据集,dataset-link.png,public/examples/ts/dataset-link.ts,line;pie,dataset+dataset.source,,5,7,7,3,"分类名 + 数值: name, value（2 字段）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
dataset-series-layout-by,dataset;bar,Series Layout By Column or Row,系列按行和按列排布,dataset-series-layout-by.png,public/examples/ts/dataset-series-layout-by.ts,bar,dataset+dataset.source,,4,5,5,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
dataset-simple0,dataset;bar,Simple Example of Dataset,最简单的数据集（dataset）,dataset-simple0.png,public/examples/ts/dataset-simple0.ts,bar,dataset+dataset.source,,5,4,4,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
dataset-simple1,dataset;bar,Dataset in Object Array,对象数组的输入格式,dataset-simple1.png,public/examples/ts/dataset-simple1.ts,bar,dataset+dataset.source,4,4,4,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
dynamic-data2,line,Dynamic Data + Time Axis,动态数据 + 时间坐标轴,dynamic-data2.png,public/examples/ts/dynamic-data2.ts,line,series.data,,,3,3,2,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
gauge-ring,gauge,Ring Gauge,得分环,gauge-ring.png,public/examples/ts/gauge-ring.ts,gauge,series.data,,,,,,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
geo-choropleth-scatter,map;scatter,Geo Choropleth and Scatter,地理坐标系上的等值区划图和散点图,geo-choropleth-scatter.png,public/examples/ts/geo-choropleth-scatter.ts,map;scatter,series.data+external file/api+map/geoJSON,,,3,3,2,"地图区域名 + 数值: name, value；另需 map/geoJSON；点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
graph-circular-layout,graph,Les Miserables,悲惨世界人物关系图(环形布局),graph-circular-layout.png,public/examples/ts/graph-circular-layout.ts,graph,series.data+external file/api+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
graphic-stroke-animation,graphic,Stroke Animation,关键帧描边动画,graphic-stroke-animation.png,public/examples/ts/graphic-stroke-animation.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
line-function,line,Function Plot,函数绘图,line-function.png,public/examples/ts/line-function.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-race,line,Line Race,动态排序折线图,line-race.png,public/examples/ts/line-race.ts,line,dataset+dataset.source+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
map-iceland-pie,map;pie,Pie Charts on GEO Map,在地图上显示饼图,map-iceland-pie.png,public/examples/ts/map-iceland-pie.ts,pie,external file/api+map/geoJSON,,,2,,2,"分类名 + 数值: name, value（2 字段）；地图区域名 + 数值: name, value；另需 map/geoJSON",medium（基于官方示例源码静态解析 + 分类规则）
matrix-sparkline,matrix;line,Mini Line Charts (Sparkline) in Matrix,矩阵中的微型折线图,matrix-sparkline.png,public/examples/ts/matrix-sparkline.ts,,unknown/static option,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
pie-nest,pie;rich,Nested Pies,嵌套环形图,pie-nest.png,public/examples/ts/pie-nest.ts,pie,series.data,,,3,,3,"分类名 + 数值: name, value（2 字段）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-large,scatter,Large Scatter,大规模散点图,scatter-large.png,public/examples/ts/scatter-large.ts,scatter,series.data,2,,2,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-nebula,scatter,Scatter Nebula,大规模星云散点图,scatter-nebula.png,public/examples/ts/scatter-nebula.ts,scatter,series.data+external file/api,2,,2,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-stream-visual,scatter,Visual interaction with stream,流式渲染和视觉映射操作,scatter-stream-visual.png,public/examples/ts/scatter-stream-visual.ts,scatter,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
sunburst-drink,sunburst,Drink Flavors,饮品风味分类,sunburst-drink.png,public/examples/ts/sunburst-drink.ts,sunburst,series.data,,,"层级对象（name,value,children）",,,层级树: name/value/children,medium（基于官方示例源码静态解析 + 分类规则）
wind-barb,custom;dataZoom,Wind Barb,风向图,wind-barb.png,public/examples/ts/wind-barb.ts,custom;line,series.data+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
bar-multi-drilldown,bar,Bar Chart Multi-level Drilldown Animation,柱状图多层下钻动画,bar-multi-drilldown.png,public/examples/ts/bar-multi-drilldown.ts,bar,unknown/static option,4,,4,4,3,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-race-country,bar,Bar Race,动态排序柱状图 - 人均收入,bar-race-country.png,public/examples/ts/bar-race-country.ts,bar,dataset+dataset.source+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-rich-text,bar;rich,Weather Statistics,天气统计（富文本）,bar-rich-text.png,public/examples/ts/bar-rich-text.ts,bar,series.data+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bubble-gradient,scatter,Bubble Chart,气泡图,bubble-gradient.png,public/examples/ts/bubble-gradient.ts,scatter,series.data,,,5,5,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
calendar-pie,calendar;pie,Calendar Pie,日历饼图,calendar-pie.png,public/examples/ts/calendar-pie.ts,pie;scatter,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）；点坐标: x, y（可附加 value/size 等）；日期 + 数值: date, value",medium（基于官方示例源码静态解析 + 分类规则）
custom-hexbin,custom;map,Hexagonal Binning,六边形分箱图（自定义系列）,custom-hexbin.png,public/examples/ts/custom-hexbin.ts,,unknown/static option,,,"2+（name,value；另需地图数据）",,,"地图区域名 + 数值: name, value；另需 map/geoJSON；自定义 series；字段由 renderItem/encode 决定",low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
dynamic-data,bar,Dynamic Data,动态数据,dynamic-data.png,public/examples/ts/dynamic-data.ts,bar;line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
gauge-barometer,gauge,Gauge Barometer chart,气压表,gauge-barometer.png,public/examples/ts/gauge-barometer.ts,gauge,series.data,,,2,2,2,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph-force-dynamic,graph,Graph Dynamic,动态增加图节点,graph-force-dynamic.png,public/examples/ts/graph-force-dynamic.ts,graph,dataset.source+series.data,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
graphic-loading,graphic,Customized Loading Animation,加载动画,graphic-loading.png,public/examples/ts/graphic-loading.ts,,unknown/static option,,,,,,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
line-markline,line,Line with Marklines,折线图的标记线,line-markline.png,public/examples/ts/line-markline.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-style,line,Line Style and Item Style,自定义折线图样式,line-style.png,public/examples/ts/line-style.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
matrix-mini-bar-geo,matrix;bar;geo,Mini Bars and Geo in Matrix,矩阵坐标系下的微型条形图和地图,matrix-mini-bar-geo.png,public/examples/ts/matrix-mini-bar-geo.ts,bar,series.data+external file/api+map/geoJSON,,,3,3,3,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
mix-timeline-finance,bar,Finance Indices 2002,2002全国宏观经济指标,mix-timeline-finance.png,public/examples/ts/mix-timeline-finance.ts,,unknown/static option,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
sunburst-book,sunburst,Book Records,书籍分布,sunburst-book.png,public/examples/ts/sunburst-book.ts,,unknown/static option,,,"层级对象（name,value,children）",,,层级树: name/value/children,low（官方示例源码未在 public/examples/ts 中找到；按分类规则推断）
watermark,bar,Watermark - ECharts Download,水印 - ECharts 下载统计,watermark.png,public/examples/ts/watermark.ts,bar;pie,series.data,,,2,,2,"分类名 + 数值: name, value（2 字段）；类目/时间 + 数值，或多维 dataset",medium（基于官方示例源码静态解析 + 分类规则）
bar-polar-real-estate,bar,Bar Chart on Polar,极坐标系下的柱状图,bar-polar-real-estate.png,public/examples/ts/bar-polar-real-estate.ts,bar,series.data,,,3,3,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-polar-stack,bar,Stacked Bar Chart on Polar,极坐标系下的堆叠柱状图,bar-polar-stack.png,public/examples/ts/bar-polar-stack.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
bar-polar-stack-radial,bar,Stacked Bar Chart on Polar(Radial),极坐标系下的堆叠柱状图,bar-polar-stack-radial.png,public/examples/ts/bar-polar-stack-radial.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
custom-calendar-icon,custom;calendar,Custom Calendar Icon,日历图自定义图标,custom-calendar-icon.png,public/examples/ts/custom-calendar-icon.ts,custom,series.data,2,,2,2,,"日期 + 数值: date, value；自定义 series；字段由 renderItem/encode 决定",medium（基于官方示例源码静态解析 + 分类规则）
custom-wind,custom,Use custom series to draw wind vectors,使用自定义系列绘制风场,custom-wind.png,public/examples/ts/custom-wind.ts,custom;line,series.data+external file/api,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset；自定义 series；字段由 renderItem/encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
gauge-clock,gauge,Clock,时钟仪表盘,gauge-clock.png,public/examples/ts/gauge-clock.ts,gauge,series.data,,,2,2,1,见示例 option；字段由 series/dataset encode 决定,medium（基于官方示例源码静态解析 + 分类规则）
graph-life-expectancy,graph,Graph Life Expectancy,预期寿命,graph-life-expectancy.png,public/examples/ts/graph-life-expectancy.ts,graph,dataset.source+series.data+external file/api+nodes+links,,,nodes/links（节点和边对象字段不固定）,,,nodes + links/categories；节点常含 name/value/symbolSize,medium（基于官方示例源码静态解析 + 分类规则）
line-in-cartesian-coordinate-system,line,Line Chart in Cartesian Coordinate System,双数值轴折线图,line-in-cartesian-coordinate-system.png,public/examples/ts/line-in-cartesian-coordinate-system.ts,line,series.data,,,2,2,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-log,line,Log Axis,对数轴示例,line-log.png,public/examples/ts/line-log.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
line-step,line,Step Line,阶梯折线图,line-step.png,public/examples/ts/line-step.ts,line,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
polar-roundCap,bar,Rounded Bar on Polar,圆角环形图,polar-roundCap.png,public/examples/ts/polar-roundCap.ts,bar,series.data,,,2+（类目/时间 + value；多系列可更多）,,,类目/时间 + 数值，或多维 dataset,medium（基于官方示例源码静态解析 + 分类规则）
scatter-aqi-color,scatter,Scatter Aqi Color,AQI 气泡图,scatter-aqi-color.png,public/examples/ts/scatter-aqi-color.ts,scatter,series.data,,,8,8,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
scatter-nutrients,scatter,Scatter Nutrients,营养分布散点图,scatter-nutrients.png,public/examples/ts/scatter-nutrients.ts,scatter,series.data+external file/api,,,2+（坐标/值，可附加维度）,,,"点坐标: x, y（可附加 value/size 等）",medium（基于官方示例源码静态解析 + 分类规则）
